exp,meson,target,observable,Q2,xB,t,value,stat,syst,Ebeam,in_fit,source
CLAS6_demasi,pi0,p,A_LU^sinphi,2.88,0.377,-0.175,0.0063,0.0614,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.88,0.377,-0.301,0.1252,0.0138,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.88,0.377,-0.494,0.0964,0.0175,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.88,0.377,-0.77,0.0714,0.0175,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.88,0.377,-1.332,0.1152,0.0238,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,3.38,0.377,-0.179,0.0916,0.0892,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,3.38,0.377,-0.308,0.1201,0.0173,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,3.38,0.377,-0.494,0.1176,0.0173,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,3.38,0.377,-0.773,0.1189,0.0161,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,3.38,0.377,-1.314,0.0607,0.0235,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.76,0.482,-0.348,0.0542,0.0778,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.76,0.482,-0.503,0.0762,0.0464,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.76,0.482,-0.784,0.0793,0.0361,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
CLAS6_demasi,pi0,p,A_LU^sinphi,2.76,0.482,-1.316,0.0785,0.0346,,5.776,no,superseded by the phi distributions on the bsa_phi sheet; these were digitised from figure 5 and their errors are 1.5 times too small
