exp,meson,target,group,Q2,xB,t,tmin,tprime,xB_mean,Q2_bin,xB_bin,t_bin,eps,npts_phi,Ebeam,sigma_meaning,chi2ndf_phi,chi2ndf_phi_rc,in_fit,source,s_u,stat_U,sys_U,s_LT,stat_LT,sys_LT,s_TT,stat_TT,sys_TT,s_u_rc,stat_U_rc,sys_U_rc,s_LT_rc,stat_LT_rc,sys_LT_rc,s_TT_rc,stat_TT_rc,sys_TT_rc
CLAS6_y12,pi0,p,pi004,1.7445,0.22305,-0.24855,0.05466174502997578,0.1938882549700242,0.22305,1.75,0.224,-0.25,0.475402,20.0,5.75,sigma_U,2.314693,2.357432,yes,"PRC 90 025205 (2014) supplemental, phi table",316.666727,6.662849,9.199033,14.847361,8.48069,18.932876,-231.523201,20.43553,43.909573,305.17668,6.406973,8.865252,6.305598,8.121353,8.040695,-236.406656,19.64059,44.835745
CLAS6_y12,pi0,p,pi004,1.7445,0.223,-0.12,0.05463507073695562,0.06536492926304438,0.223,1.75,0.224,-0.12,0.475146,20.0,5.75,sigma_U,1.05253,1.056177,yes,"PRC 90 025205 (2014) supplemental, phi table",293.330596,7.820234,24.002504,16.238334,9.734752,12.028395,-71.946896,23.312974,12.990412,284.638182,7.584079,23.291225,11.736981,9.4267,8.69406,-73.187915,22.642199,13.214485
CLAS6_y12,pi0,p,pi004,1.743,0.223,-0.17485,0.05463374449250624,0.1202162555074938,0.223,1.75,0.224,-0.17,0.476159,20.0,5.75,sigma_U,1.340082,1.336385,yes,"PRC 90 025205 (2014) supplemental, phi table",339.298447,8.911882,25.999881,34.947785,10.793647,8.287618,-242.427704,27.67651,25.938767,329.242759,8.644133,25.22933,29.756188,10.443444,7.056467,-239.674276,26.872685,25.644161
CLAS6_y12,pi0,p,pi004,1.745,0.223056,-0.349111,0.05466538870493465,0.2944456112950654,0.223056,1.75,0.224,-0.35,0.475093,18.0,5.75,sigma_U,1.512461,1.536116,yes,"PRC 90 025205 (2014) supplemental, phi table",260.48428,6.993796,12.999216,32.141356,9.160628,5.006442,-182.591411,22.169841,19.955345,250.601647,6.711714,12.506032,23.682556,8.754131,3.688872,-189.004812,21.345673,20.656264
CLAS6_y12,pi0,p,pi004,1.743889,0.223167,-0.495333,0.05472364953851927,0.4406093504614808,0.223167,1.75,0.224,-0.49,0.476412,18.0,5.75,sigma_U,1.549107,1.552,yes,"PRC 90 025205 (2014) supplemental, phi table",184.40859,4.952503,8.600401,3.653674,6.32187,3.755165,-116.430986,15.032619,20.074308,178.080899,4.797408,8.305291,-1.552996,6.109216,1.596135,-121.644338,14.488001,20.973162
CLAS6_y12,pi0,p,pi004,1.746667,0.223944,-0.776778,0.05514189182994,0.72163610817006,0.223944,1.75,0.224,-0.78,0.478505,18.0,5.75,sigma_U,1.568845,1.615395,yes,"PRC 90 025205 (2014) supplemental, phi table",102.281408,2.36446,5.404301,9.152354,3.118214,4.974105,-60.838024,7.311807,11.968136,99.354453,2.311985,5.249648,6.168333,3.013756,3.352355,-64.525412,7.061439,12.693524
CLAS6_y12,pi0,p,pi004,1.75,0.224,-1.2148,0.05517493617479707,1.159625063825203,0.224,1.75,0.224,-1.22,0.476549,20.0,5.75,sigma_U,0.919423,0.927416,yes,"PRC 90 025205 (2014) supplemental, phi table",44.539267,1.361242,3.002647,6.33294,1.298399,2.211503,-21.249584,4.102601,6.014033,43.743218,1.341777,2.948981,5.324133,1.261367,1.859221,-22.82865,3.987626,6.460939
CLAS6_y12,pi0,p,pi004,1.75,0.224211,-1.714895,0.05528820479539864,1.659606795204601,0.224211,1.75,0.224,-1.72,0.47762,19.0,5.75,sigma_U,3.170856,3.182897,yes,"PRC 90 025205 (2014) supplemental, phi table",18.94137,0.995397,4.386423,2.259992,0.853767,3.22856,-12.308791,2.964097,5.40386,18.772136,0.988489,4.347231,2.100923,0.846228,3.001318,-12.507731,2.940542,5.491199
CLAS6_y12,pi0,p,pi005,1.87,0.269538,-0.121077,0.08303790639095077,0.03803909360904924,0.269538,1.87,0.271,-0.12,0.593357,13.0,5.75,sigma_U,0.41475,0.414166,yes,"PRC 90 025205 (2014) supplemental, phi table",341.975556,73.586075,107.992281,1.489387,86.059154,107.23589,-151.130653,103.536257,101.761306,336.780284,72.417525,106.351669,-0.862452,84.668835,62.096513,-148.829968,101.595058,100.212178
CLAS6_y12,pi0,p,pi005,1.87,0.270857,-0.174857,0.08394035827652657,0.09091664172347344,0.270857,1.87,0.271,-0.18,0.597613,14.0,5.75,sigma_U,0.339518,0.335735,yes,"PRC 90 025205 (2014) supplemental, phi table",436.852221,54.008213,89.969565,7.423706,64.378574,78.479181,15.634089,91.821056,163.180808,428.946528,53.143739,88.34139,5.42812,63.359165,57.382984,12.948379,90.099131,135.148705
CLAS6_y12,pi0,p,pi005,1.87,0.270667,-0.248889,0.0838100108548554,0.1650789891451446,0.270667,1.87,0.271,-0.25,0.597002,18.0,5.75,sigma_U,1.426191,1.42536,yes,"PRC 90 025205 (2014) supplemental, phi table",411.988233,19.276611,31.999086,19.465766,21.162282,19.465766,-233.081083,34.24949,39.013572,401.975596,18.990985,31.221405,14.4203,20.856824,14.4203,-232.217376,33.438176,38.869003
CLAS6_y12,pi0,p,pi005,1.87,0.270833,-0.349056,0.08392388682345286,0.2651321131765471,0.270833,1.87,0.271,-0.35,0.597536,18.0,5.75,sigma_U,1.879671,1.879863,yes,"PRC 90 025205 (2014) supplemental, phi table",373.979993,13.700056,25.998609,27.336587,12.829591,20.249323,-294.040598,27.955079,41.145613,363.823551,13.436532,25.292546,21.030251,12.523362,15.577964,-294.776729,27.050222,41.248621
CLAS6_y12,pi0,p,pi005,1.87,0.271,-0.496556,0.08403853974775877,0.4125174602522412,0.271,1.87,0.271,-0.49,0.59807,18.0,5.75,sigma_U,1.304603,1.349181,yes,"PRC 90 025205 (2014) supplemental, phi table",259.553421,7.33201,13.002676,25.094133,7.218742,6.098574,-167.198477,18.858573,14.016639,252.026068,7.159913,12.625583,18.205636,6.872554,4.424477,-173.951404,18.022774,14.582752
CLAS6_y12,pi0,p,pi005,1.87,0.271,-0.780111,0.08403853974775877,0.6960724602522412,0.271,1.87,0.271,-0.78,0.59807,18.0,5.75,sigma_U,1.390833,1.428813,yes,"PRC 90 025205 (2014) supplemental, phi table",151.842057,4.082461,7.802161,6.332752,4.240918,5.640107,-59.319188,12.047433,4.624886,147.789177,3.990337,7.59391,2.058655,4.022908,1.83349,-65.44685,11.552728,5.102636
CLAS6_y12,pi0,p,pi005,1.87,0.27155,-1.2167,0.0844167845097008,1.132283215490299,0.27155,1.87,0.271,-1.22,0.599822,20.0,5.75,sigma_U,1.299767,1.383963,yes,"PRC 90 025205 (2014) supplemental, phi table",77.614895,2.978235,5.493976,-5.663862,2.321955,2.782248,-36.244726,7.370968,5.576112,76.09691,2.927702,5.386525,-7.424927,2.226638,3.647332,-39.908264,7.07063,6.139733
CLAS6_y12,pi0,p,pi005,1.870556,0.272111,-1.719,0.08480486811366217,1.634195131886338,0.272111,1.87,0.271,-1.72,0.601331,18.0,5.75,sigma_U,0.837129,0.838206,yes,"PRC 90 025205 (2014) supplemental, phi table",39.226955,2.094922,3.502407,-7.000462,1.894493,1.900125,-22.919116,4.61219,3.803172,38.764074,2.077493,3.461078,-7.292175,1.873381,1.979305,-23.251348,4.552748,3.858302
