    2.71200     0.34240     0.49700   178.88839     5.84049     9.14881    12.40652     7.20895     8.75754  -123.74156    18.55698    31.96657
    2.71222     0.34411     1.22228    50.09809     2.37501     4.39457     7.45845     2.63665     4.14358   -33.60783     9.36363    17.07065
    2.71053     0.34321     0.78342   107.60593     3.55424     5.65321    -0.96705     4.48166     3.11604  -101.07989    13.07604    20.42018
    2.71333     0.34461     1.72222    28.22129     1.86014     3.44162    -3.38656     2.09016     2.33556   -17.69195     5.44208     9.46313
    2.75000     0.42256     0.49800   317.67627    19.05680    20.65387   -10.34848    23.10077    20.69696   -60.63950    39.39515    16.17053
    2.75000     0.42332     0.78847   227.26446     6.77666    16.62434     1.20590     6.24781     4.48706   -61.93327    16.74454    25.62756
    2.75000     0.42428     1.22772   136.73247     4.83717     8.74621   -27.40889     5.52931     6.16169   -21.22969    12.34923    15.92226
    2.75000     0.42543     1.72693    66.92221     4.48726     2.80050   -13.69881     5.22389     3.95981    -5.98607     9.27776    26.60474
    3.12083     0.36233     0.35008   213.20390    32.04969   135.32120    -3.41344    51.76436   727.06249    23.83219   113.94207   351.30409
    3.12062     0.36269     0.49725   162.23709    13.69281    19.42959    -3.28835    21.96605   194.01275   -24.82281    69.64333    66.19415
    3.22889     0.43139     0.78811   135.15077     6.08991     6.34740    12.31515     7.74269     4.51556   -79.02345    16.93353    16.42046
    3.22529     0.42765     0.35141   273.61776    21.41926    14.81685   -80.08389    28.28631    16.01678    65.19547    46.79364    19.46133
    3.22889     0.43028     0.49783   197.69063    11.83768    16.72010     7.46724    16.18190    12.69431   -47.00096    29.32894    31.67456
    3.22778     0.43272     1.22633    73.56650     3.65912     8.96439     4.08235     4.06638     8.74789   -77.36680    10.49299    32.15244
    3.22733     0.43353     1.72807    63.98427     4.89723     6.55496    17.64766     5.59288     5.81997    32.94309    13.88155    14.11847
    3.28909     0.49655     1.23255   136.47751    16.24407    17.54711   -13.93374    22.41539    11.26310   -57.61779    43.75539    12.80395
    3.67900     0.45100     0.78990   141.28480    35.03971    22.41069   -23.51555    34.32306    29.92888     3.99193   100.22799    27.94349
    3.67600     0.45130     1.22810    74.92628    14.59214     1.75152     0.80645    17.30418     1.16935   -25.60992    47.31649     9.39030
    3.67429     0.45029     0.49793   181.69550    25.43605    17.67848   -33.33202    38.95188    30.20714   -39.75065    65.42409    59.62598
    3.67900     0.45190     1.72950    46.21701     6.77118     3.83503   -15.24025     9.34133     7.56829   -28.22177    26.49086     8.25748
    3.75857     0.51286     0.79214   185.37380    36.44614    39.02606    23.31292    45.35744    35.94076   -42.85307    55.90434    45.05066
    3.75357     0.51357     1.23271   128.78744    13.02975    10.73229    -0.10626    14.25891     0.89262   -20.53336    36.19619    48.31378
    4.22615     0.53815     0.79100   175.01687    41.79872    44.24584   -29.26361    59.99104    59.57235   -34.65990    73.04131    65.24217
