                                                                       1

1                  SUPPLEMENTAL MATERIAL


    TABLE I: Beam spin asymmetry measurements for first dataset from
    experimental period with negative torus polarity.
           Q2 , xB bin −t range ϕ range BSA ∆stat ∆syst
             4       1.36 - 2    0 - 40   0.019 0.0874 0.0354
             4       1.36 - 2   40 - 80 -0.0268 0.0624 0.0134
             4       1.36 - 2 80 - 120 -0.0349 0.0524 0.0121
             4       1.36 - 2 120 - 160 0.0105 0.0777 0.0191
             4       1.36 - 2 200 - 240 -0.0332 0.0895 0.024
             4       1.36 - 2 240 - 280 -0.0427 0.0604 0.0077
             4       1.36 - 2 280 - 320 -0.0917 0.0687 0.0242
             4       1.36 - 2 320 - 360 0.0464 0.1093 0.0438
                                                                        5

TABLE III: σLT ′ /σ0 measurements for first dataset from experimental
period with negative torus polarity.
              ⟨Q2 ⟩ ⟨xB ⟩ ⟨−t⟩ σLT ′ /σ0 ∆stat ∆syst
             2.5495 0.2952 0.3255 0.0711 0.0246 0.0241
             2.553 0.2959 0.626 0.0655 0.0222 0.0307
             2.6203 0.2843 1.3359 0.0253 0.025 0.0337
             2.8677 0.3915 0.3356 0.0259 0.0173 0.0242
             2.9663 0.3955 0.6188 0.0608 0.014 0.0227
             3.1997 0.3948 1.2711 0.0432 0.02 0.0289
             4.5846 0.368 0.3584 0.1259 0.0381 0.0468
             4.725 0.38 0.654 0.029 0.0338 0.0277
             4.6608 0.3691 1.3596 0.0726 0.0325 0.03
             3.6891 0.4832 0.5091 0.0198 0.0217 0.0257
             4.0646 0.5118 0.7857 0.0484 0.0186 0.0229
             4.3727 0.5275 1.3613 0.0805 0.0187 0.0293
             6.0104 0.5049 0.6398 0.0597 0.0335 0.0416
             6.4545 0.5523 1.0374 0.0871 0.0312 0.0295
             6.7747 0.5841 1.6012 0.0662 0.0291 0.0285


TABLE IV: σLT ′ /σ0 measurements for first dataset from experimental
period with positive torus polarity.
              ⟨Q2 ⟩ ⟨xB ⟩ ⟨−t⟩ σLT ′ /σ0 ∆stat ∆syst
             2.5152 0.2891 0.4835 0.0673 0.0209 0.0268
             2.515 0.2912 0.8321 0.0444 0.0202 0.0227
             2.5472 0.2802 1.4717 0.0328 0.0196 0.0247
             2.8221 0.3937 0.4729 0.0321 0.0176 0.029
               2.9 0.3926 0.7557 0.0567 0.0171 0.027
             3.0698 0.3926 1.3199 0.0543 0.0162 0.0256
             4.5121 0.3609 0.4884 0.0914 0.0403 0.0419
             4.631 0.3717 0.8062 0.0581 0.0371 0.0313
             4.573 0.3626 1.4475 0.0929 0.0315 0.0287
             3.6791 0.4897 0.5611 0.0476 0.0232 0.0338
             4.0496 0.5155 0.8779 0.0523 0.0204 0.0296
             4.2635 0.5234 1.4471 0.039 0.0197 0.0399
             5.9867 0.5131 0.733 0.077 0.0391 0.0377
             6.3396 0.5543 1.1461 0.118 0.0358 0.0443
             6.587 0.5782 1.6506 0.0144 0.034 0.0233

