# Model curves of Fig. 5, Zhao et al., PLB 789 (2019) 426 -- read from the vector PDF.
# alpha is the amplitude of the paper's Eq. (2),
#   A_LU = (dsig+ - dsig-)/(dsig+ + dsig-) = alpha sin(phi)/(1 + beta cos(phi) + gamma cos(2phi)),
# with A_LU already divided by the beam polarisation, Eq. (4).  Hence
#   alpha = sqrt(2 eps (1-eps)) * sigma_LT' / (sigma_T + eps sigma_L),  NOT the bare ratio.
# columns: model  channel  Q2  -t(GeV^2)  alpha
#   model:   0 = GK (black),  1 = GGL (red)
#   channel: 0 = eta (solid), 1 = pi0 (dashed)
# Bezier control nodes for the solid curves, polyline vertices for the dashed ones;
# interpolate, do not treat as data points.  Digitising accuracy ~0.003 in alpha.
# The GGL eta curve is absent in the two low-Q2 panels -- it is not drawn in the figure.
   0.0000    1.0000    1.5100    1.0516    0.0531
   1.0000    1.0000    1.5100    0.1003    0.0465
   1.0000    1.0000    1.5100    0.2003    0.0516
   1.0000    1.0000    1.5100    0.3004    0.0527
   1.0000    1.0000    1.5100    0.4004    0.0519
   1.0000    1.0000    1.5100    0.5004    0.0504
   1.0000    1.0000    1.5100    0.6004    0.0486
   1.0000    1.0000    1.5100    0.7005    0.0468
   1.0000    1.0000    1.5100    0.8005    0.0451
   1.0000    1.0000    1.5100    0.9005    0.0435
   1.0000    1.0000    1.5100    1.0006    0.0421
   1.0000    1.0000    1.5100    1.1006    0.0406
   1.0000    1.0000    1.5100    1.2006    0.0395
   0.0000    0.0000    1.7900    0.0684    0.0001
   0.0000    0.0000    1.7900    0.1175    0.0021
   0.0000    0.0000    1.7900    0.4186    0.0006
   0.0000    0.0000    1.7900    1.0677   -0.0329
   0.0000    1.0000    1.7900    0.0505    0.0001
   0.0000    1.0000    1.7900    0.1005   -0.0199
   0.0000    1.0000    1.7900    0.1505   -0.0169
   0.0000    1.0000    1.7900    0.2005   -0.0109
   0.0000    1.0000    1.7900    0.2505   -0.0049
   0.0000    1.0000    1.7900    0.3005    0.0001
   0.0000    1.0000    1.7900    0.3506    0.0061
   0.0000    1.0000    1.7900    0.4005    0.0111
   0.0000    1.0000    1.7900    0.4506    0.0161
   0.0000    1.0000    1.7900    0.5006    0.0211
   0.0000    1.0000    1.7900    0.5506    0.0251
   0.0000    1.0000    1.7900    0.6006    0.0301
   0.0000    1.0000    1.7900    0.6506    0.0341
   0.0000    1.0000    1.7900    0.7006    0.0381
   0.0000    1.0000    1.7900    0.7506    0.0421
   0.0000    1.0000    1.7900    0.8007    0.0461
   0.0000    1.0000    1.7900    0.8506    0.0491
   0.0000    1.0000    1.7900    0.9007    0.0531
   0.0000    1.0000    1.7900    0.9507    0.0561
   0.0000    1.0000    1.7900    1.0007    0.0601
   0.0000    1.0000    1.7900    1.0507    0.0631
   1.0000    1.0000    1.7900    0.1005    0.0341
   1.0000    1.0000    1.7900    0.2005    0.0419
   1.0000    1.0000    1.7900    0.3005    0.0453
   1.0000    1.0000    1.7900    0.4005    0.0466
   1.0000    1.0000    1.7900    0.5006    0.0467
   1.0000    1.0000    1.7900    0.6006    0.0463
   1.0000    1.0000    1.7900    0.7006    0.0457
   1.0000    1.0000    1.7900    0.9007    0.0440
   1.0000    1.0000    1.7900    1.0007    0.0432
   1.0000    1.0000    1.7900    1.1007    0.0424
   1.0000    1.0000    1.7900    1.2008    0.0418
   0.0000    0.0000    2.2600    0.2503    0.0096
   0.0000    0.0000    2.2600    0.3003    0.0164
   0.0000    0.0000    2.2600    0.3504    0.0184
   0.0000    0.0000    2.2600    0.4670    0.0207
   0.0000    0.0000    2.2600    0.8005    0.0155
   0.0000    0.0000    2.2600    0.9186    0.0150
   0.0000    0.0000    2.2600    1.2507    0.0067
   0.0000    1.0000    2.2600    0.1823    0.0096
   0.0000    1.0000    2.2600    0.2323    0.0047
   0.0000    1.0000    2.2600    0.2824    0.0037
   0.0000    1.0000    2.2600    0.3323    0.0047
   0.0000    1.0000    2.2600    0.3824    0.0057
   0.0000    1.0000    2.2600    0.4324    0.0067
   0.0000    1.0000    2.2600    0.4824    0.0077
   0.0000    1.0000    2.2600    0.5324    0.0086
   0.0000    1.0000    2.2600    0.5824    0.0086
   0.0000    1.0000    2.2600    0.6324    0.0096
   0.0000    1.0000    2.2600    0.6825    0.0106
   0.0000    1.0000    2.2600    0.7325    0.0106
   0.0000    1.0000    2.2600    0.7825    0.0116
   0.0000    1.0000    2.2600    0.8825    0.0116
   0.0000    1.0000    2.2600    0.9326    0.0126
   0.0000    1.0000    2.2600    1.1826    0.0126
   1.0000    0.0000    2.2600    0.2003   -0.0217
   1.0000    0.0000    2.2600    0.3003    0.0180
   1.0000    0.0000    2.2600    0.4004    0.0340
   1.0000    0.0000    2.2600    0.5004    0.0419
   1.0000    0.0000    2.2600    0.6989    0.0524
   1.0000    0.0000    2.2600    1.2006    0.0514
   1.0000    1.0000    2.2600    0.2003    0.1736
   1.0000    1.0000    2.2600    0.3004    0.1766
   1.0000    1.0000    2.2600    0.4004    0.1745
   1.0000    1.0000    2.2600    0.5004    0.1693
   1.0000    1.0000    2.2600    0.6004    0.1625
   1.0000    1.0000    2.2600    0.7005    0.1550
   1.0000    1.0000    2.2600    0.8005    0.1471
   1.0000    1.0000    2.2600    0.9005    0.1394
   1.0000    1.0000    2.2600    1.0006    0.1318
   1.0000    1.0000    2.2600    1.1006    0.1246
   1.0000    1.0000    2.2600    1.2006    0.1178
   0.0000    0.0000    3.1000    0.2865    0.0096
   0.0000    0.0000    3.1000    0.3365    0.0174
   0.0000    0.0000    3.1000    0.3865    0.0204
   0.0000    0.0000    3.1000    0.5046    0.0245
   0.0000    0.0000    3.1000    0.8366    0.0184
   0.0000    0.0000    3.1000    0.9538    0.0168
   0.0000    0.0000    3.1000    1.2868    0.0086
   0.0000    1.0000    3.1000    0.2385    0.0096
   0.0000    1.0000    3.1000    0.2885    0.0096
   0.0000    1.0000    3.1000    0.3385    0.0106
   0.0000    1.0000    3.1000    0.3886    0.0116
   0.0000    1.0000    3.1000    0.4385    0.0126
   0.0000    1.0000    3.1000    0.4886    0.0126
   0.0000    1.0000    3.1000    0.5386    0.0135
   0.0000    1.0000    3.1000    0.5886    0.0145
   0.0000    1.0000    3.1000    0.7386    0.0145
   0.0000    1.0000    3.1000    0.7886    0.0155
   0.0000    1.0000    3.1000    0.8887    0.0155
   0.0000    1.0000    3.1000    0.9387    0.0145
